model,description,min_price,avr_price,max_price
ASUS ROG Strix G15 G513IM (G513IM-HN008),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 4800H / 2,9 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,3 кг / ОС: DOS",43795,50126,62310
GIGABYTE G5 KD (KD-52EE123SD),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i5-11400H / 2,7 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2,2 кг / ОС: DOS",38049,40456,43795
HP Victus 16-e0504nw (4H3L7EA),"Ноутбук / Класичний / 16,1"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,48 кг / ОС: DOS",40960,43089,47399
ASUS ROG Zephyrus G15 GA503QS (GA503QS-BS96Q),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / AMD Ryzen 9 5900HX / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3080, 8 ГБ / SSD: 1000 ГБ / 1,9 кг / ОС: Windows 10 Pro",66842,82927,97687
Lenovo Legion 5 15ACH6H (82JU0065RM),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,4 кг / ОС: DOS",44199,48125,53547
Lenovo Legion 5 17ACH6H (82JY008SPB),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2,98 кг / ОС: DOS",49880,54408,57687
Lenovo Legion 5 Pro 16IAH7H (82RF00ETPB),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / Intel Core i7-12700H / 1,7 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,49 кг / ОС: Windows 11 Home",64730,67526,77000
Lenovo Legion 5 15ACH6H (82JU00TGPB),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6GB GDDR6 / SSD: 512 ГБ / 2,4 кг / ОС: Windows 11 Home",44850,48433,55778
Lenovo Legion 5 15IMH05H (81Y600SYRA),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i5-10300H / 2,5 ГГц / ОЗП: 8 ГБ / NVIDIA GeForce RTX 2060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,46 кг / ОС: DOS",37987,40236,44999
ASUS TUF Dash F15 FX517ZM (FX517ZM-AS73),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-12650H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2 кг / ОС: Windows 11 Home",51850,57011,68575
MSI Katana GF76 11UE (GF76 11UE-245XPL),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 512 ГБ / 1,9 кг / ОС: DOS",45820,49477,57356
MSI Katana GF66 11UE (GF66 11UE-491XPL),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,25 кг / ОС: DOS",43000,45055,48822
Acer Nitro 5 AN515-45-R6XD (NH.QBCAA.007),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 8 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2.2 кг / ОС: Windows 11 Home",38600,40415,42778
ASUS ROG ZEPHYRUS GU603ZM GAMING (GU603ZM-M16.I73060),"Ноутбук / Класичний / 16"" / IPS / 1920x1080 / Intel Core i7-12700H / 1.7 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2 кг / ОС: Windows 11 home",63950,73266,94976
Lenovo Legion 5 Pro 16ITH6H (82JD00EAPB),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ GDDR6 / SSD: 1000 ГБ / 2,3 кг / ОС: Windows 11 Home",74370,76775,79659
Lenovo Legion 5 15IAH7H (82RB00EBPB),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / Intel Core i5-12500H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6GB GDDR6 140W / SSD: 512 ГБ / 2,4 кг / ОС: Windows 11 Home",53580,55685,63699
GIGABYTE G7 KE Black (G7_KE-52RU213SD),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i5-12500H / 2,5 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 512 ГБ / 2,4 кг / ОС: DOS",0,53999,0
GIGABYTE A5 (K1-AEE1130SD),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2,12 кг / ОС: DOS",39949,41216,45065
Lenovo IdeaPad Gaming 3 15IAH7 Onyx Gray (82S900EXRA),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i5-12450H / 2,0 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 512 ГБ / 2,315 кг / ОС: DOS",46482,50194,55293
GIGABYTE AORUS 5 SE4 (SE4-73US213SH),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-12700H / 3,5 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 Гб GDDR6 / SSD: 512 ГБ / 2,3 кг / ОС: Windows 11 Home",60040,71825,81700
Acer Nitro 5 AN515-57-55ZS (NH.QEWEP.004),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i5-11400H / 2,7 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,2 кг / ОС: Windows 11 Home",41200,43369,45580
HP Victus 16-e0194nw White (4H3Z5EA),"Ноутбук / Класичний / 16,1"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,48 кг / ОС: DOS",41145,42473,44800
Lenovo Legion 5 15ACH6H Phantom Blue (82JU00JHPB),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ GDDR6 / SSD: 512 ГБ / 2,4 кг / ОС: DOS",49940,53344,60442
ASUS ROG Strix G17 G713RM (G713RM-LL044W),"Ноутбук / Класичний / 17,3"" / IPS / 2560x1440 / AMD Ryzen 7 6800H / 3,2 ГГц / ОЗП: 16 ГБ / Nvidia GeForce RTX 3060 6 GB GDDR6 / SSD: 1000 ГБ / 2,7 кг / ОС: Windows 11 Home",66970,71812,76654
ASUS TUF Gaming F15 FX506HM (FX506HM-HN017W),"Ноутбук / Класичний / 15,6"" / EWV / 1920x1080 / Intel Core i5-11400H / 2,7 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2,28 кг / ОС: Windows 11 Home",42649,45648,53635
ASUS TUF Dash F15 FX516PM (FX516PM-211.TF15),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-11370H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 512 ГБ / 2 кг / ОС: Windows 10 Home",42600,47040,54675
ASUS ROG Strix G17 2021 G713IM (G713IM-HX055W),"Ноутбук / Класичний / 17,3"" / EWV / 1920x1080 / AMD Ryzen 7 4800H / 2,9 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 GB GDDR6 / SSD: 512 ГБ / 2,7 кг / ОС: Windows 11 Home",51985,57430,63955
ASUS ROG Zephyrus G14 GA401QM (GA401QM-G14.R73060),"Ноутбук / Класичний / 14"" / 1920x1080 / AMD Ryzen 7 5800HS / 2,8 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 Гб / SSD: 512 ГБ / ОС: Windows 11 Home / 08.2022 / Модель з лінійки 
                ROG Zephyrus G14 GA401QM",48299,55856,70342
Lenovo Legion 5 15ACH6H (82JU00TCPB),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 8 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 512 ГБ / 2,4 кг / ОС: Windows 11 Home",43870,47339,51758
ASUS TUF Gaming F15 FX517ZR (FX517ZR-F15.I73070),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / Intel Core i7-12650H / 1,7 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ / SSD: 512 ГБ / 1,9 кг / ОС: Windows 11 Home",57304,71049,83238
MSI Katana GF76 11UG (GF76 11UG-410XPL),"Ноутбук / Класичний / 17,3"" / IPS / 1920x1080 / Intel Core i7-11800H / 2,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070 8GB GDDR6 / SSD: 512 ГБ / 2,6 кг / ОС: DOS",57020,59494,64400
Lenovo Legion 5 15ARH7 (82RD0062PB),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 7 6800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 512 ГБ / 2,4 кг / ОС: DOS",54899,56899,58399
Lenovo Legion 5 Pro 16ACH6H (82JQ00LGPB),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6 ГБ GDDR6 / SSD: 512 ГБ / 2,45 кг / ОС: DOS",57850,59996,65000
ASUS ROG Zephyrus M16 GU603HM (GU603HM-211.ZM16),"Ноутбук / Класичний / 16"" / IPS / 2560x1600 / Intel Core i9-11900H / 2,5 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060, 6 ГБ / SSD: 1000 ГБ / 1,9 кг / ОС: Windows 10 Home",73000,80679,98420
Acer Nitro 5 AN515-46 (NH.QGZEP.009),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 5 6600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 512 ГБ / 2,41 кг / ОС: DOS",44249,47216,51758
MSI Titan GT77 (TITANGT7712064),"Ноутбук / Класичний / 17,3"" / 3840x2160 / Intel Core i9-12900HX / 1,5 ГГц / ОЗП: 32 ГБ / NVIDIA GeForce RTX 3080 Ti, 16 Гб GDDR6 / SSD: 1000 ГБ / 3.09 кг / ОС: Windows 11 Pro / 08.2022",0,159999,0
Lenovo Legion 5 15ACH6H (82JU00JQPB),"Ноутбук / Класичний / 15,6"" / IPS / 1920x1080 / AMD Ryzen 5 5600H / 3,3 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3070, 8 ГБ GDDR6 / SSD: 1000 ГБ / 2,4 кг / ОС: DOS",59440,62941,70420
Lenovo Legion 5 15ACH6H (82JU00TLPB),"Ноутбук / Класичний / 15,6"" / IPS / 2560x1440 / AMD Ryzen 7 5800H / 3,2 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 6GB GDDR6 / SSD: 1000 ГБ / 2,4 кг / ОС: Windows 11 Home",53830,55457,55999
ASUS TUF Dash F15 FX517ZM (FX517ZM-HN127W),"Ноутбук / Класичний / 15,6"" / EWV / 1920x1080 / Intel Core i7-12650H / 3,5 ГГц / ОЗП: 16 ГБ / NVIDIA GeForce RTX 3060 / SSD: 1000 ГБ / 2,0 кг / ОС: Windows 11 Home",56840,57279,57799
